Ci ACF Mean,Ci ACF Var,Ti ACF Mean,Ti ACF Var,Tci ACF Mean,Tci ACF Var,C ACF Mean,C ACF Var,T ACF Mean,T ACF Var,Tc ACF Mean,Tc ACF Var,Qc ACF Mean,Qc ACF Var,Class,Domain,Parameter Noise,Reaction Order
0.04358066120443319,0.02604005535479488,0.04030687390392359,0.026619158849603523,0.5423549302880568,0.045446858559092106,0.31838215901288264,0.03889022328069059,0.40579704201464983,0.018963110339060785,0.029897494768854577,0.028251176709058252,0.2793013437335229,0.04082402938097662,0.0,0.0,0.0,1.0
0.013869837199489966,0.02689387844690953,0.01672080836694179,0.02832095954109319,0.541374413015093,0.04396123120328904,0.3170537077143455,0.03721317711298001,0.4103667269374464,0.019794961411374618,0.019306171214714663,0.028372982938997912,0.2818409024423851,0.039186869387905436,0.0,0.0,0.0,1.0
0.02765755566407935,0.027335157427765405,0.013086568782333505,0.02783263473938377,0.5447068300360637,0.040601688280420364,0.3115663948218719,0.034836869135887884,0.4296646226973265,0.019057615210554695,0.018321672213530607,0.028596331429627635,0.278407893314296,0.03803284156108884,0.0,0.0,0.0,1.0
0.035691829745014815,0.028341942021437885,0.025978142861799034,0.027116103145162763,0.5841895196984227,0.041934063717445985,0.3943925487308752,0.03640488394503787,0.41483038198382244,0.02122441857671846,0.02027202610564046,0.028074658563146424,0.36560810432354035,0.03835641079614165,0.0,0.0,0.0,1.0
0.014984723164730087,0.02883915518816356,0.01259411163574292,0.02974204790586749,0.597658658939079,0.03795823292816169,0.3869078952207592,0.033461338170088846,0.45729511599184053,0.019061577348013066,0.012171968379285348,0.030937074782965448,0.3571005824425368,0.03563730237618756,0.0,0.0,0.0,1.0
0.011818599108726258,0.026869587661789637,0.0202049725557593,0.0288275576780657,0.5021592454756716,0.03904447908716011,0.2415581475149951,0.0358696441975849,0.4194287207089865,0.018515301736717463,0.015791770227636035,0.029228455124571666,0.19797328922141405,0.03841719211549232,0.0,0.0,0.0,1.0
0.0146045674584683,0.026935252435949245,0.02172824890616605,0.028653585539854885,0.5522030247004879,0.04425075917121178,0.32678977200831416,0.03982269120487829,0.43466188679101714,0.020458238556774432,0.009753332895344798,0.027423107094362558,0.2874573238536536,0.04259595822740814,0.0,0.0,0.0,1.0
0.04176169009050635,0.027493407991655096,0.015565319724089713,0.02755480272977977,0.41237326823980575,0.03485394563830022,0.11631435944880122,0.04739832841100205,0.4168129040250969,0.017372166532979644,0.013422168925424964,0.02836767971681445,0.07654253973638903,0.05438374052331742,0.0,0.0,0.0,1.0
0.030449897398426656,0.02632276003645928,0.02381031785341083,0.027401664445672016,0.5455571488566632,0.044443158454627346,0.3205628807667493,0.03625913171235509,0.41499785295618863,0.019311234472290707,0.04503346557665945,0.026698149746358778,0.28338389311453865,0.03779665642057701,0.0,0.0,0.0,1.0
0.019681054208001435,0.028553495902233442,0.008634833377800561,0.027689199996545073,0.5099508225156912,0.04735265375891525,0.27100866968412535,0.040527476448932724,0.40105728367894405,0.019852944836126922,0.04620891042863317,0.024876778308569956,0.2300614124245174,0.04226273476962397,0.0,0.0,0.0,1.0
