Ci ACF,Ti ACF,Tci ACF,C ACF,T ACF,Tc ACF,Qc ACF,Class,Domain,Parameter Noise,Reaction Order
1.1455125048182293,1.1579959202739232,13.923424887641055,5.750554320794198,7.529008335522911,1.1949465130029895,4.872164069685454,0.0,0.0,0.0,1.0
1.1105362840648454,1.1726223439150247,13.818946937099746,5.647185458224141,7.71602829153782,1.1785741586247616,4.863467710775182,0.0,0.0,0.0,1.0
1.152104010336159,1.1481596138970191,13.829595977702661,5.408329988245645,8.350441431535813,1.1862126191954356,4.737295661452524,0.0,0.0,0.0,1.0
1.2142497980113853,1.139429649120143,15.711669804359708,7.869965024018417,7.925655240136062,1.1679101578285425,7.053053566470971,0.0,0.0,0.0,1.0
1.1916115817759738,1.225927041704203,16.201318326853823,7.50952135972412,9.35539641877816,1.274494495484863,6.6894832626364495,0.0,0.0,0.0,1.0
1.1073799448139792,1.198667742355832,11.939543863058093,3.8630192959669025,7.9718658931840745,1.2085912403912584,3.182035229786157,0.0,0.0,0.0,1.0
1.113090378890526,1.194153795955711,14.316336526042761,6.011184098059093,8.584956969805555,1.128247618474129,5.134334521845009,0.0,0.0,0.0,1.0
1.1987353167856944,1.1396803582236092,8.40113197788024,2.4980217036244663,7.835311703287389,1.1704612077545609,2.4699425374171784,0.0,0.0,0.0,1.0
1.1172482078093933,1.146712422960051,14.025106206052788,5.699807381751121,7.8529125496520225,1.1777726734963208,4.8422265791905,0.0,0.0,0.0,1.0
1.1865744316758413,1.138314174104306,12.603502300877155,4.672900195208575,7.408695474750456,1.1074937101744273,3.9028305185119017,0.0,0.0,0.0,1.0
1.1571149942062753,1.1490652329231954,13.541036087517337,5.183307741009601,8.572539401554094,1.1929139844547623,4.267177953822303,0.0,0.0,0.0,1.0
1.206134620144576,1.2089400756123954,15.651614590759403,7.028553464052302,8.91841990416183,1.1425800462555622,6.238302133536149,0.0,0.0,0.0,1.0
1.2176441421632862,1.254486787177168,14.26483329222896,5.395347803327411,8.704142986387273,1.1691507351538795,4.4646946927293545,0.0,0.0,0.0,1.0
1.1611958862058218,1.181225356897183,15.868034861020218,7.189679302868139,9.178459924623272,1.1777094192881767,6.511634260388441,0.0,0.0,0.0,1.0
1.1577105245148966,1.1249631291845266,14.43538740936769,5.735437554386452,8.865146216150512,1.2328517115634672,4.878355198721568,0.0,0.0,0.0,1.0
1.1623141613002796,1.1741680602598599,15.517920904422555,7.719936209690455,8.55092689463143,1.1733874204217878,7.056803833349358,0.0,0.0,0.0,1.0
1.320033787655329,1.1945648164924663,13.366947103658235,4.949561220818526,8.012757788279345,1.2042036219256398,4.145627743318041,0.0,0.0,0.0,1.0
1.2763536055385631,1.185439962594427,12.889823202302772,4.625015861170522,7.772014616430052,1.1344209008404236,3.8917937389890875,0.0,0.0,0.0,1.0
